Video,Total Views
Bruno Mars - The Lazy Song (Official Music Video),"2,944,333,617"
Fifth Harmony - Work from Home (Official Video) ft. Ty Dolla $ign,"2,943,977,938"
"Calvin Harris, Rihanna - This Is What You Came For (Official Video)","2,839,856,571"
Sia - Chandelier (Official Video),"2,801,682,211"
Imagine Dragons - Believer (Official Music Video),"2,787,127,183"
Natti Natasha ❌ Ozuna - Criminal [Official Video],"2,691,052,712"
"DJ Snake - Taki Taki ft. Selena Gomez, Ozuna, Cardi B (Official Music Video)","2,662,746,828"
Meghan Trainor - All About That Bass (Official Video),"2,658,868,619"
Adele - Rolling in the Deep (Official Music Video),"2,638,852,210"
"Post Malone, Swae Lee - Sunflower (Spider-Man: Into the Spider-Verse) (Official Video)","2,611,290,682"
Christina Perri - A Thousand Years [Official Music Video],"2,600,001,777"
Marshmello - Alone (Official Music Video),"2,592,738,420"
The Weeknd - Starboy ft. Daft Punk (Official Video),"2,560,276,666"
MAGIC! - Rude (Official Video),"2,549,916,100"
"Becky G, Bad Bunny - Mayores (Official Video)","2,520,144,230"
Shawn Mendes - Treat You Better,"2,506,054,701"
Jennifer Lopez - On The Floor ft. Pitbull,"2,505,640,249"
"Casper, Nio García, Darell, Nicky Jam, Bad Bunny, Ozuna - Te Bote Remix (Video Oficial)","2,499,250,761"
John Legend - All of Me (Official Video),"2,486,940,700"
"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock","2,458,250,639"
Numb (Official Music Video) [4K UPGRADE] – Linkin Park,"2,450,567,985"
Avicii - Wake Me Up (Official Video),"2,426,177,008"
Gotye - Somebody That I Used To Know (feat. Kimbra) [Official Music Video],"2,423,853,256"
"Luis Fonsi, Demi Lovato - Échame La Culpa","2,413,576,508"
Rihanna - Diamonds,"2,401,010,227"
Bruno Mars - That’s What I Like [Official Music Video],"2,380,670,304"
"Jhay Cortez, J. Balvin, Bad Bunny - No Me Conoce (Remix)","2,373,261,724"
The Chainsmokers & Coldplay - Something Just Like This (Lyric),"2,364,140,742"
Ellie Goulding - Love Me Like You Do (Official Video),"2,362,749,677"
Fifth Harmony - Worth It (Official Video) ft. Kid Ink,"2,337,233,238"
50 Cent - In Da Club (Official Music Video),"2,303,688,739"
Ariana Grande ft. Nicki Minaj - Side To Side (Official Video) ft. Nicki Minaj,"2,296,056,597"
Adele - Someone Like You (Official Music Video),"2,287,826,210"
X (EQUIS) - Nicky Jam x J. Balvin | Video Oficial  (Prod. Afro Bros & Jeon),"2,282,525,317"
BLACKPINK - ‘뚜두뚜두 (DDU-DU DDU-DU)’ M/V,"2,280,749,956"
Justin Bieber - What Do You Mean?,"2,280,082,335"
"Becky G, NATTI NATASHA - Sin Pijama (Official Video)","2,256,490,088"
Guns N' Roses - November Rain,"2,252,778,226"
Romeo Santos - Propuesta Indecente (Official Video),"2,250,225,314"
