Video,Total Views,Artist,Title,Total Views_normalized
Ed Sheeran - Thinking Out Loud (Official Music Video),3856979790,Ed Sheeran,Thinking Out Loud (Official Music Video),0.4205337822285105
Passenger | Let Her Go (Official Video),3786466787,Passenger | Let Her Go (Official Video),,0.4120435115999796
Maroon 5 - Girls Like You ft. Cardi B (Official Music Video),3786394422,Maroon 5,Girls Like You ft. Cardi B (Official Music Video),0.4120347983356468
Alan Walker - Faded,3779911686,Alan Walker,Faded,0.41125423048700027
Major Lazer & DJ Snake - Lean On (feat. MØ) [Official Music Video],3739785438,Major Lazer & DJ Snake,Lean On (feat. MØ) [Official Music Video],0.40642274281333607
"Enrique Iglesias - Bailando ft. Descemer Bueno, Gente De Zona",3649864087,Enrique Iglesias,"Bailando ft. Descemer Bueno, Gente De Zona",0.3955955680683728
The Gummy Bear Song - Long English Version,3606586588,The Gummy Bear Song,Long English Version,0.39038464720267124
Taylor Swift - Blank Space,3598968260,Taylor Swift,Blank Space,0.38946734594325794
Taylor Swift - Shake It Off,3542602240,Taylor Swift,Shake It Off,0.38268047339929345
FROZEN | Let It Go Sing-along | Official Disney UK,3493034884,FROZEN | Let It Go Sing-along | Official Disney UK,,0.37671220869809025
"J Balvin, Willy William - Mi Gente (Official Video)",3457091795,"J Balvin, Willy William",Mi Gente (Official Video),0.37238440333096706
Justin Bieber - Baby ft. Ludacris,3333288541,Justin Bieber,Baby ft. Ludacris,0.35747760477704993
Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video],3280077001,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez) [Official Video],0.35107055421985134
The Chainsmokers - Closer (Lyric) ft. Halsey,3200003747,The Chainsmokers,Closer (Lyric) ft. Halsey,0.34142916089318937
Adele - Hello (Official Music Video),3192062858,Adele,Hello (Official Music Video),0.34047302097895077
Dua Lipa - New Rules (Official Music Video),3119026801,Dua Lipa,New Rules (Official Music Video),0.33167895657680346
Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie) [Official Video],3041811267,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie) [Official Video],0.3223816532072883
Shakira - Chantaje (Official Video) ft. Maluma,3034290794,Shakira,Chantaje (Official Video) ft. Maluma,0.3214761343907863
twenty one pilots: Stressed Out [OFFICIAL VIDEO],3030865949,twenty one pilots: Stressed Out [OFFICIAL VIDEO],,0.32106375852146235
"Pedro Capó, Farruko - Calma (Remix - Official Video)",2976732785,"Pedro Capó, Farruko",Calma (Remix,0.31454573783329726
Daddy Yankee & Snow - Con Calma (Video Oficial),2966252867,Daddy Yankee & Snow,Con Calma (Video Oficial),0.31328388064101725
Eminem - Love The Way You Lie ft. Rihanna,2949366820,Eminem,Love The Way You Lie ft. Rihanna,0.31125067963160774
Bruno Mars - The Lazy Song (Official Music Video),2944333617,Bruno Mars,The Lazy Song (Official Music Video),0.31064464593881025
Fifth Harmony - Work from Home (Official Video) ft. Ty Dolla $ign,2943977938,Fifth Harmony,Work from Home (Official Video) ft. Ty Dolla $ign,0.31060181963956884
"Calvin Harris, Rihanna - This Is What You Came For (Official Video)",2839856571,"Calvin Harris, Rihanna",This Is What You Came For (Official Video),0.29806486125697684
Sia - Chandelier (Official Video),2801682211,Sia,Chandelier (Official Video),0.29346839487940724
Imagine Dragons - Believer (Official Music Video),2787127183,Imagine Dragons,Believer (Official Music Video),0.29171586525411464
